product,uf,volume,year_month,unit
GASOLINA C (m3),BAHIA,1588825.698,2011-01-01,m3
GASOLINA C (m3),MINAS GERAIS,395913.76,2011-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,59924.134,2011-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,193202.776,2011-01-01,m3
GASOLINA C (m3),SÃO PAULO,824087.139,2011-01-01,m3
GASOLINA C (m3),PARANÁ,202203.319,2011-01-01,m3
GASOLINA C (m3),SANTA CATARINA,160081.945,2011-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,223755.739,2011-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,43673.6,2011-01-01,m3
GASOLINA C (m3),MATO GROSSO,46892.3,2011-01-01,m3
GASOLINA C (m3),GOIÁS,121655.146,2011-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,76108.8,2011-01-01,m3
GASOLINA C (m3),RONDÔNIA,26749.079,2012-01-01,m3
GASOLINA C (m3),ACRE,118891.75,2012-01-01,m3
GASOLINA C (m3),AMAZONAS,49760.044,2012-01-01,m3
GASOLINA C (m3),RORAIMA,8727.8,2012-01-01,m3
GASOLINA C (m3),PARÁ,87037.24,2012-01-01,m3
GASOLINA C (m3),AMAPÁ,11125.4,2012-01-01,m3
GASOLINA C (m3),TOCANTINS,26502.99,2012-01-01,m3
GASOLINA C (m3),MARANHÃO,63846.67,2012-01-01,m3
GASOLINA C (m3),PIAUÍ,36563.61,2012-01-01,m3
GASOLINA C (m3),CEARÁ,90826.0,2012-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,43714.85,2012-01-01,m3
GASOLINA C (m3),PARAÍBA,47622.5,2012-01-01,m3
GASOLINA C (m3),PERNAMBUCO,97914.25,2012-01-01,m3
GASOLINA C (m3),ALAGOAS,28949.5,2012-01-01,m3
GASOLINA C (m3),SERGIPE,340092.125,2012-01-01,m3
GASOLINA C (m3),BAHIA,179521.841,2012-01-01,m3
GASOLINA C (m3),MINAS GERAIS,368777.228,2012-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,74777.07,2012-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,201702.534,2012-01-01,m3
GASOLINA C (m3),SÃO PAULO,889791.052,2012-01-01,m3
GASOLINA C (m3),PARANÁ,225337.944,2012-01-01,m3
GASOLINA C (m3),SANTA CATARINA,173625.232,2012-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,246716.157,2012-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,51409.6,2012-01-01,m3
GASOLINA C (m3),MATO GROSSO,52030.48,2012-01-01,m3
GASOLINA C (m3),GOIÁS,109882.652,2012-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,75651.0,2012-01-01,m3
GASOLINA C (m3),RONDÔNIA,378462.95,2013-01-01,m3
GASOLINA C (m3),ACRE,11644.0,2013-01-01,m3
GASOLINA C (m3),AMAZONAS,49985.655,2013-01-01,m3
GASOLINA C (m3),RORAIMA,9763.6,2013-01-01,m3
GASOLINA C (m3),PARÁ,83493.68,2013-01-01,m3
GASOLINA C (m3),AMAPÁ,12507.1,2013-01-01,m3
GASOLINA C (m3),TOCANTINS,30221.35,2013-01-01,m3
GASOLINA C (m3),MARANHÃO,63573.5,2013-01-01,m3
GASOLINA C (m3),PIAUÍ,40892.52,2013-01-01,m3
GASOLINA C (m3),CEARÁ,98824.428,2013-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,48367.012,2013-01-01,m3
GASOLINA C (m3),PARAÍBA,45380.35,2013-01-01,m3
GASOLINA C (m3),PERNAMBUCO,114548.002,2013-01-01,m3
GASOLINA C (m3),ALAGOAS,400517.967,2013-01-01,m3
GASOLINA C (m3),SERGIPE,35089.3,2013-01-01,m3
GASOLINA C (m3),BAHIA,169436.759,2013-01-01,m3
GASOLINA C (m3),MINAS GERAIS,406011.324,2013-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,70118.675,2013-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,228016.603,2013-01-01,m3
GASOLINA C (m3),SÃO PAULO,858133.83,2013-01-01,m3
GASOLINA C (m3),PARANÁ,216155.408,2013-01-01,m3
GASOLINA C (m3),SANTA CATARINA,193432.57,2013-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,269585.233,2013-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,54364.27,2013-01-01,m3
GASOLINA C (m3),MATO GROSSO,40527.403,2013-01-01,m3
